,id,Tweets,Sentiment,Label
0,883783047598014470,"@danny8790 @daily_trust @APCNigeria @Gidi_Traffic Nope, #APC won this unit but lose the #Election #Osunwestdecide",0.0,Negative
1,883782988265291776,"@adeyanjudeji @adeyanjudeji this is the result of wasted years of governance, Custodians of peoples mandate must be proactive be it PDP/APC",-0.2,Negative
2,883782892563963904,X-RAY ON NIGERIAN POLITICAL ISSUES: APC can’t disown restructuring – Prof Akin Oyebode... https://t.co/hDHlsrtuN9,0.0,Negative
3,883782859537907712,RT @Pr_OmarSaavedra: El Agustino C no olvida el pasado por eso no teme el futuro. #EncuentrodeAdolescentes #APC #DiosalTimon @EnzoChavez @Y…,0.0,Negative
4,883782837132042240,"RT @YoJudeMa: @AlimEsther @citizenshangout @4eyedmonk @LanreAgboola1 The same government/party in Lagos for the past 18 years, what hv they…",-0.125,Negative
5,883782825417334784,"Final Results for Iwo Local Government 

APC =12,205

PDP = 12,547

#OsunWestDecides",0.0,Negative
6,883782782639538176,"RT @jiminkfuck: gente, UP10TION é muito bom pqp",0.0,Negative
7,883782766923583489,"RT @SKSolaKuti: Hehehehehe. Overreaching. Boko Haram, Saraki, Tinubu, Atiku etc are the ones who brought APC to power. You are only an ordi…",0.0,Negative
8,883782761806536705,"APC paid hack tweetin shitty PU results since morning has stopped, most r now talkin abt Lukaku

Most of u will cry in 2018 #Osunwestdecides",0.5,Positive
9,883782736950984705,RT @pmnewsnigeria: #OsunWestDecides: APC’s Hussain wins polling unit with 4 votes https://t.co/nTChn9f9Jm #News #Nigeria https://t.co/FJdgs…,0.3,Positive
10,883782732295413761,"RT @citizenshangout: @4eyedmonk @LanreAgboola1 I supported and still support APC, the problem is that we were focused on the presidency and…",0.0,Negative
11,883782708094275586,"RT @john_danfulani: IBB,APC,Afenifere et al are talking of restructuring.We(IPOB,Mazi Kanu &amp; co) dey next junction o.Na referendum junction…",0.0,Negative
12,883782690805350400,"RT @john_danfulani: IBB,APC,Afenifere et al are talking of restructuring.We(IPOB,Mazi Kanu &amp; co) dey next junction o.Na referendum junction…",0.0,Negative
13,883782661134831616,"RT @4eyedmonk: But as things are, the party is letting me down with how things have been going on, and it seems the leaders of the APC don'…",-0.15555555555555559,Negative
14,883782652876083204,#OsunWestDecides: APC’s Hussain wins polling unit with 4 votes https://t.co/PN9KJLAcVM #News #Nigeria https://t.co/MxFVEaT3h4,0.3,Positive
15,883782641165639680,"Osun by-election: APC, PDP chieftains confident of victory https://t.co/834grxcTfE #News #Nigeria https://t.co/uXTvRF9R19",0.5,Positive
16,883782635931262977,RT @OrientalTimes: The APC And The Season Of Hypocrisy By Reno Omokri https://t.co/ea19TBU8bB https://t.co/zngYdcbYKf,0.0,Negative
17,883782635348164609,"RT @4eyedmonk: I do not regret the role I played in bringing the APC to power, however minute it is, because I did it patriotic vigor and w…",0.0,Negative
18,883782600887873541,"RT @4eyedmonk: Many have labeled us enemies, just because we worked to bring the APC to power - simply because we believed the party could…",0.25,Positive
19,883782575805911046,"RT @SKSolaKuti: Hehehehehe. Overreaching. Boko Haram, Saraki, Tinubu, Atiku etc are the ones who brought APC to power. You are only an ordi…",0.0,Negative
20,883782565525688320,"RT @MrKakaki: #OsunWestDecides
EDE NORTH LOCAL GOVERNMENT
PDP:18,559
APC: 2,784
We are still baffled about how APC manage to scoop 2000+ vo…",0.0,Negative
21,883782545099423744,"RT @DemolaRewaju: The margins from all LGAs are reportedly close, except the Ede LGAs where they may simply announce PDP votes in kilograms…",0.0,Negative
22,883782526212481025,RT @pmnewsnigeria: #OsunWestDecides: APC’s Hussain wins polling unit with 4 votes https://t.co/nTChn9f9Jm #News #Nigeria https://t.co/FJdgs…,0.3,Positive
23,883782523272278018,RT @shittu10: @SaharaReporters @dmightyangel @APCNigeria @OfficialPDPNig That is an election result &amp; not war. Well done @inecnigeria &amp; APC…,0.0,Negative
24,883782498639065088,"RT @responficient11: Will be Glad if APC loses Osun west today, we Osun folks will look like fools if after everything, APC wins.",0.16666666666666666,Positive
25,883782481694031874,RT @effalixumab: If PDP Truly Wins #OsunWestDecides In Aregbesola's State Of Osun Then They Just Need To Regroup And Challenge APC Come 2019,0.3,Positive
26,883782478875570176,Gostei de um vídeo @YouTube https://t.co/JmWrf6u8Qk Baratinho tenta ser o sobrevivente em PlayerUnknown's Battleground,0.0,Negative
27,883782456356331520,@dotfag people have been waiting for this perfect moment of election. It used to be massive Win for APC. This is a litmus test for 2018.,0.6,Positive
28,883782455215443969,"RT @olufemisp: 2014: Adeleke packed all PDP votes to APC 

2017: Adeleke returned all the votes he borrowed, back to PDP

Respect????

#Osu…",0.0,Negative
29,883782409623359488,@ChloeZerlinda APC,0.0,Negative
30,883782408365060097,"RT @SKSolaKuti: Hehehehehe. Overreaching. Boko Haram, Saraki, Tinubu, Atiku etc are the ones who brought APC to power. You are only an ordi…",0.0,Negative
31,883782402513960960,"RT @Pamela_ArmyPgt: Obrigada Bangtan por nos trazer união
#ARMY_4th",0.0,Negative
32,883782392309305344,"The funniest thing is that APC has been tweeting about just one LG they won in Osun, wetin do the other 9 LG's?",-0.125,Negative
33,883782376756846592,"RT @DemolaRewaju: The Peoples of Osun West are jubilating already: too late for rigging by substitution - PDP wins it. 

9 LGAs to PDP, 1 t…",0.0,Negative
34,883782369588772866,@NigeriaNewsdesk @HeraldNG APC? HABA,0.0,Negative
35,883782367801999360,@NigeriaInfoAbj @Benjaminubiri @inya01 @swat_dyno1 @AgulaMusa @BIkimberly @zukiberry @PeterKundum @imohRICH… https://t.co/uuEpbJUVPJ,0.0,Negative
36,883782337955287040,"Scenes when @inecnigeria declares official result, and APC wins https://t.co/cGtQ2zl1hR",0.3,Positive
37,883782337653354496,"@OsunDefender If APC wins, d will shout rigging but people's will if pdp wins. Funny people we are. We must complain. Pdp already complained",0.1375,Positive
38,883782319080955904,RT @auxanosparkles: Update: Iwo local government- PDP- 12547 APC- 12205 #Osunwestbyeelection,0.0,Negative
39,883782304212160513,"RT @DemolaRewaju: The Peoples of Osun West are jubilating already: too late for rigging by substitution - PDP wins it. 

9 LGAs to PDP, 1 t…",0.0,Negative
40,883782282011701251,"RT @DemolaRewaju: The margins from all LGAs are reportedly close, except the Ede LGAs where they may simply announce PDP votes in kilograms…",0.0,Negative
41,883782228970438656,RT @BiafrXit: Preacher! But you did for criminal APC. How many times have you admitted to your folly and stupidly in this regard? https://t…,-0.2333333333333333,Negative
42,883782213304758274,Gostei de um vídeo @YouTube https://t.co/N1QSiHcHFz NO PC #73 | PAGAR MULTAS E ERVA DO DIABO,0.0,Negative
43,883782169126219776,"RT @DemolaRewaju: The Peoples of Osun West are jubilating already: too late for rigging by substitution - PDP wins it. 

9 LGAs to PDP, 1 t…",0.0,Negative
44,883782138725793792,"#OsunWestDecides
EDE NORTH LOCAL GOVERNMENT
PDP:18,559
APC: 2,784
We are still baffled about how APC manage to scoop 2000+ votes",0.0,Negative
45,883782115665563653,"RT @BiafrXit: Unlike APC, Kanu has no presidential interest but #BiafrExit. Be civil 2 support legitimate Referendum not cynicism  https://…",0.0,Negative
46,883782102315151360,"RT @SKSolaKuti: Hehehehehe. Overreaching. Boko Haram, Saraki, Tinubu, Atiku etc are the ones who brought APC to power. You are only an ordi…",0.0,Negative
47,883782087790166016,"RT @olufemisp: 2014: Adeleke packed all PDP votes to APC 

2017: Adeleke returned all the votes he borrowed, back to PDP

Respect????

#Osu…",0.0,Negative
