,id,Tweets,Sentiment,Label
0,883782989162872832,RT @channelstv: Sunrise Daily:EFCC Chair Appointments Have Not Reflected Federal Character. https://t.co/sPfuG8oQc8 https://t.co/IfAkta4vXh,0.0,Negative
1,883782983181905920,RT @EditiEffiong: Ozumba road has disintegrated. Imagine the road was built by a construction firm owned by a PDP politician - they'd be an…,-0.2,Negative
2,883782824922419200,RT @EditiEffiong: Ozumba road has disintegrated. Imagine the road was built by a construction firm owned by a PDP politician - they'd be an…,-0.2,Negative
3,883782512002170881,"RT @ibrahimmauruf1: If the fight against CORRUPTION must see the light of the DAY,in Nigeria let Ibrahim Magu remain EFCC BOSS,Nigerians ha…",0.4,Positive
4,883782500677541888,"RT @GideonVese: @tytywaveclan @officialEFCC I do not PUNCH LINES,
I ASSAULT the BARS, 
EFCC you SISI'ed out when it came to chasing puppies…",0.0,Negative
5,883781962300837888,RT @eggheader: ''I have no idea why the EFCC is actually interested in the issue of the Paris Club refunds'' ~Governor Abdulaziz Yari of #Z…,0.25,Positive
6,883781909033218049,RT @NigeriaNewsdesk: EFCC Boss Reveals Number of Persons Looting Nigeria https://t.co/REVX98kaRf via @heraldng https://t.co/sCEdPSMMI8,0.0,Negative
7,883781725490434052,RT @aanaha67: Senators and corrupt men behind the scenes are wary of the danger posed by the EFCC Boss. Nigerians stand with Magu!!,-0.5604166666666667,Negative
8,883781633840742400,RT @renoomokri: If @NGRPresident doesn't need Senate confirmation for Magu to be EFCC Chairman why did they send him there for clearance in…,0.0,Negative
9,883781592526843905,"RT @GideonVese: @tytywaveclan @officialEFCC I do not PUNCH LINES,
I ASSAULT the BARS, 
EFCC you SISI'ed out when it came to chasing puppies…",0.0,Negative
10,883781456878817280,"RT @OakTVOnline: Magu to remain EFCC boss throughout Buhari’s regime ? Osinbajo
https://t.co/vkTCn1Q3KH",0.0,Negative
11,883781356999909376,"@tytywaveclan @officialEFCC I do not PUNCH LINES,
I ASSAULT the BARS, 
EFCC you SISI'ed out when it came to chasing… https://t.co/3qIGNAY9e2",0.0,Negative
12,883780931999477760,"RT @GuardianNigeria: “As far as I remain acting President, Magu remains,” says Osinbajo on EFCC boss
https://t.co/cSyOg4k79B",0.05,Positive
13,883780822066765824,RT @renoomokri: If @NGRPresident doesn't need Senate confirmation for Magu to be EFCC Chairman why did they send him there for clearance in…,0.0,Negative
14,883780738159697920,"RT @GuardianNigeria: EFCC boss Ibrahim Magu reiterates call for establishment of prison for “big Nigerians” in Sambisa Forest
https://t.co/…",0.0,Negative
15,883779890062950400,"RT @DeeOneAyekooto: Left to Saraki, Ozekhome shld head the EFCC while Abaribe shld be SGF. You know that the wish of a goat if for d whole…",0.0,Negative
16,883779055077687296,"RT @mredosa: The EFCC Boss calls for the establishment of prison for big
men in Sambisa forest and you
think they won't call for his head",0.0,Negative
