,id,Tweets,Sentiment,Label
0,883783079516667904,"RT @iykimo: The real enemies of Nigeria are citizens who want an obviously incapacitated Buhari to continue as president

Citizens who are…",0.1,Positive
1,883783071279067136,"RT @ani_nomso: Buhari disappears

Evans disappears

Nigeria about to disappear next

Wont be shocked if we Nigerians one day wake up in Sen…",-0.35,Negative
2,883783069802606593,"RT @iykimo: Buhari has spent 60 consecutive days in an unknown London hospital

No video
No pictures
No calls 
No interviews 

#PMB60DaysIn…",-0.1,Negative
3,883783060831031296,"RT @DailyTimesNGR: Nigerian file suit to force Senate, Reps to remove Buhari https://t.co/fsjYHcKB1V",0.0,Negative
4,883783058872258560,RT @pmnewsnigeria: Buhari’s Son Bags Masters Degree https://t.co/lh2DgYHAVD #News #Nigeria https://t.co/Q1EZbD8ZN8,0.0,Negative
5,883783057618198528,"RT @iykimo: Buhari has spent 60 consecutive days in an unknown London hospital

No video
No pictures
No calls 
No interviews 

#PMB60DaysIn…",-0.1,Negative
6,883783024055332865,"And #Nigerians file suit to force Senate, Reps to remove #Buhari
https://t.co/4vUzc7fmoB #news #Nigeria",0.0,Negative
7,883783010776121345,"RT @HasemiErol: ""Ameller ancak niyetlere göre de?er kazan?r ve herkes niyet etti?i ?eyin kar??l???n? alacakt?r.

Buhârî, "" Bed'ül-Vahy"", 1…",0.0,Negative
8,883782992723943425,"RT @ahameed02: ""People should only fear the consequences of their actions"" ... Muhammadu Buhari https://t.co/uoDnDDqzht",0.0,Negative
9,883782926416138242,"RT @MrAbuSidiq: Buhari Makes History As His Political Ideology, ""Buharism"" Enters English Dictionary - https://t.co/PGsxnTxSPP https://t.co…",0.0,Negative
10,883782906723872769,"""Even If He Is On A Wheelchair, The North Will Still Vote For President Buhari - ACF Member, Mohammed Yakubu Moham https://t.co/UIvQOia45I",0.0,Negative
11,883782882346586112,"RT @hadisderyasii: Rasûlullah ? ?öyle buyurdu: “Bir müslüman?n, din karde?ini üç günden fazla terkedip küs durmas? helâl de?ildir.” (Buhârî…",0.0,Negative
12,883782869088428037,"RT @Amarachukwu_M: Buhari disappears
Evans vanishes.Lekki
is..Nigeria about to
disappear next Wont be
shocked if we Nigerians
1 day wake up…",-0.35,Negative
13,883782855708618754,"@OgbeniDipo @adeyanjudeji Jigawa State declared public holiday yesterday to pray 4 Buhari because Allocation will come!

That's the problem!",0.0,Negative
14,883782855305900032,"And #Nigerians file suit to force Senate, Reps to remove #Buhari
https://t.co/MXSSe80t0S #news #Nigeria",0.0,Negative
15,883782791237947393,RT @ELBINAWI: @ProfOsinbajo @adeyanjudeji @IntlCrimCourt @zinadabo @ConcernedNIG @MBuhari @elrufai My heartfelt condolences to #Humanity fo…,0.0,Negative
16,883782764767703041,RT @citizenshangout: @4eyedmonk @LanreAgboola1 Those guys rode on Buhari's popularity but had hidden agenda that differs from the party's c…,-0.16666666666666666,Negative
17,883782754546143232,"RT @ani_nomso: Buhari disappears

Evans disappears

Nigeria about to disappear next

Wont be shocked if we Nigerians one day wake up in Sen…",-0.35,Negative
18,883782689471508485,"RT @NsrNurullah: Resûlullah sallallahu aleyhi ve sellem ?öyle buyurdu:

“Akrabas?yla ilgisini kesen kimse cennete giremez.”(Buhârî, Edeb…",0.0,Negative
19,883782682999697408,"Buhari vanished 
Now Evans vanishes
 am thinking something, did u hear d trumpet sound let it nt b dt buhari &amp; Evan… https://t.co/V6fr5F0Bcg",0.4,Positive
20,883782655409565700,"RT @iykimo: Buhari has spent 60 consecutive days in an unknown London hospital

No video
No pictures
No calls 
No interviews 

#PMB60DaysIn…",-0.1,Negative
21,883782563537485829,"Nigerian file suit to force Senate, Reps to remove Buhari https://t.co/OUmOGqEjWB https://t.co/qkn95PZ69c",0.0,Negative
22,883782562065383426,"RT @hadisderyasii: Rasûlullah ? ?öyle buyurdu: ""Gelip geçenlere eziyet veren ?eyleri yoldan gidermen sadakad?r.” (Buhârî, Sulh 11) https://…",0.0,Negative
23,883782552800026624,Ta Buhari Tazo Karshe - Ayo Fayose https://t.co/NvAIlFQ2yG https://t.co/iAypJnkx8k,0.0,Negative
24,883782533867077636,RT @MaweProsper: Back to more pertinent issues. Where's Buhari?,0.25,Positive
25,883782460907114496,"RT @ani_nomso: Buhari disappears

Evans disappears

Nigeria about to disappear next

Wont be shocked if we Nigerians one day wake up in Sen…",-0.35,Negative
26,883782460626149379,"Nigerian file suit to force Senate, Reps to remove Buhari https://t.co/fsjYHcKB1V",0.0,Negative
27,883782438010355712,"RT @hadisderyasii: Rasûlullah ? ?öyle buyurdu: “Bir müslüman?n, din karde?ini üç günden fazla terkedip küs durmas? helâl de?ildir.” (Buhârî…",0.0,Negative
28,883782408176381956,"?slam? karanl??a gömen Ebu süfyan soyu Emeviler ve ?mam? gazali ve buhari denen imamlar?n kafalar?na göre hadis dini yaratmas?d?r.!
NET!",0.0,Negative
29,883782381995479041,"RT @iykimo: Buhari has spent 60 consecutive days in an unknown London hospital

No video
No pictures
No calls 
No interviews 

#PMB60DaysIn…",-0.1,Negative
30,883782317172502529,"RT @iykimo: The real enemies of Nigeria are citizens who want an obviously incapacitated Buhari to continue as president

Citizens who are…",0.1,Positive
31,883782303545274368,"RT @iykimo: Buhari has spent 60 consecutive days in an unknown London hospital

No video
No pictures
No calls 
No interviews 

#PMB60DaysIn…",-0.1,Negative
32,883782301775167490,"RT @iykimo: Buhari has spent 60 consecutive days in an unknown London hospital

No video
No pictures
No calls 
No interviews 

#PMB60DaysIn…",-0.1,Negative
