,id,Tweets,Sentiment,Label
0,883783079516667904,"RT @iykimo: The real enemies of Nigeria are citizens who want an obviously incapacitated Buhari to continue as president

Citizens who are…",0.1,Positive
1,883783079436963840,@TheAfricanVault @Nigeria Ghanaians shall we?,0.0,Negative
2,883783071279067136,"RT @ani_nomso: Buhari disappears

Evans disappears

Nigeria about to disappear next

Wont be shocked if we Nigerians one day wake up in Sen…",-0.35,Negative
3,883783064765202432,RT @PRODEEGY: This is Johannesburg South Africa not Lekki Nigeria. https://t.co/Vo2x42NgzG,0.0,Negative
4,883783059430137856,RT @NigeriaNewsdesk: Media practitioners advised to imbibe data journalism https://t.co/22N12p2wxE via @todayng https://t.co/AyaoI15K2t,0.0,Negative
5,883783058872258560,RT @pmnewsnigeria: Buhari’s Son Bags Masters Degree https://t.co/lh2DgYHAVD #News #Nigeria https://t.co/Q1EZbD8ZN8,0.0,Negative
6,883783057781686272,"RT @OgbeniDipo: The Lekki floods will be forgotten in 2 weeks. Nothing will be done. Then it will happen again next year. 

LOL. Nigeria is…",0.4,Positive
7,883783046679322624,"Nigeria, three others get Trump’s $639 million aid https://t.co/nf6aYnX7TM https://t.co/Ri541P8kDF",0.0,Negative
8,883783045421178880,RT @JajaPhD: Lagosians are arguably the most taxed people in Nigeria. They are also arguably among the least Nigerians to demand accountabi…,0.1,Positive
9,883783044863315968,RT @iAmFlygerian: Hey guys I'm a lead guitarist trying to volunteer for @wizkidayo 's 4 stadiums in Nigeria project. Please help RT till he…,0.0,Negative
10,883783043818950657,Vanguard News Nigeria https://t.co/7WAnP759AS,0.0,Negative
11,883783039708520448,"RT @benmurraybruce: It's an insult to think that you or your people can't survive if Nigeria is restructured. That's fear talking, not real…",0.0,Negative
12,883783034327007232,Saraki in secret meeting with Osinbajo - Daily Post Nigeria https://t.co/MvwyAB7XeP via https://t.co/ybKfMTx9Bh https://t.co/x40zCgKcOW,-0.2,Negative
13,883783029042425856,"RT @gidicarsng: Headphones, you know the drill ????
BMW M5
cred: @_abbagana 
#Abuja #nigeria #gidicars https://t.co/jUQ6EZrVOb",0.0,Negative
14,883783024055332865,"And #Nigerians file suit to force Senate, Reps to remove #Buhari
https://t.co/4vUzc7fmoB #news #Nigeria",0.0,Negative
15,883783016727932928,“why school is a scam in nigeria.” https://t.co/tqDenyUKza,0.0,Negative
16,883783016342061056,I'm not saying he should fall sick again. He's old and recuperating... Nigeria's problem might be too much for him.… https://t.co/KegMYcDoNX,-0.1380952380952381,Negative
17,883783010386051073,@HenryGhanney @XOXBimmy Let'em know ! Nigeria ??,0.0,Negative
18,883783009111076864,&gt;Top facts you should know about traditional Rulers in Nigeria and their Roles https://t.co/YuM3NaKy39,0.0,Negative
19,883783004753186816,&gt;Top facts you should know about traditional Rulers in Nigeria and their Roles https://t.co/RviNwXBMs6,0.0,Negative
20,883783001615814656,RT @TobyKelechi: Snow skipped Nigeria and went to Kenya https://t.co/HcSJtgzz8E,0.0,Negative
